,mse,training_time,layer0_nodes,alpha,n_layers,layer1_nodes
84,0.03410776846852363,0.26599999999598367,8,0.0001,2,
85,0.05649367838037507,0.3280000000013388,8,0.0001,2,
86,0.03191560339845601,0.2969999999986612,8,0.0001,2,
87,0.05684995671452413,0.046999999998661224,8,0.0001,2,
88,0.028626511787054786,0.3280000000013388,8,0.0001,2,
89,0.037007372329862544,0.18800000000192085,8,0.0001,2,
90,0.034866930642132116,0.3280000000013388,8,0.0001,2,
91,0.023279287401713086,0.3280000000013388,8,0.0001,2,
92,0.03715359020214458,0.20299999999406282,8,0.0001,2,
93,0.030782731450638867,0.3280000000013388,8,0.0001,2,
94,0.03554616810146224,0.3280000000013388,8,0.0001,2,
95,0.026966746616424946,0.2969999999986612,8,0.0001,2,
96,0.029542809952153325,0.3280000000013388,8,0.0001,2,
97,0.025813465816828352,0.3280000000013388,8,0.0001,2,
98,0.035587662559682966,0.3280000000013388,8,0.0001,2,
99,0.03774333616469483,0.3289999999979045,8,0.0001,2,
0,0.024266197120558518,0.46899999999732245,8,1e-06,3,8.0
1,0.03497757728601665,0.3120000000053551,8,1e-06,3,8.0
2,0.024738036537176242,0.4539999999979045,8,1e-06,3,8.0
3,0.02940737090118726,0.375,8,1e-06,3,8.0
4,0.03294186073170157,0.4530000000013388,8,1e-06,3,8.0
5,0.02734360132377468,0.43699999999807915,8,1e-06,3,8.0
6,0.05858046928972662,0.4530000000013388,8,1e-06,3,8.0
7,0.02740200536017112,0.31300000000192085,8,1e-06,3,8.0
8,0.032982051324472635,0.43699999999807915,8,1e-06,3,8.0
9,0.02746523524735974,0.31300000000192085,8,1e-06,3,8.0
10,0.024112926509551352,0.4529999999940628,8,1e-06,3,8.0
11,0.025607600123518204,0.4530000000013388,8,1e-06,3,8.0
12,0.02859397372278848,0.43800000000192085,8,1e-06,3,8.0
13,0.029651526216810675,0.2960000000020955,8,1e-06,3,8.0
14,0.05369207975473602,0.4539999999979045,8,1e-06,3,8.0
15,0.02726783749781949,0.4530000000013388,8,1e-06,3,8.0
16,0.02254333458451489,0.31199999999807915,8,1e-06,3,8.0
17,0.028669041308320663,0.4530000000013388,8,1e-06,3,8.0
18,0.029130703022244363,0.4530000000013388,8,1e-06,3,8.0
19,0.02644838643186626,0.2819999999992433,8,1e-06,3,8.0
20,0.0253286081580912,0.4530000000013388,8,1e-06,3,8.0
21,0.021704551015501956,0.2809999999954016,8,1e-06,3,8.0
22,0.02712445642783332,0.4530000000013388,8,1e-06,3,8.0
23,0.04283427608008445,0.4530000000013388,8,1e-06,3,8.0
24,0.032715297207046155,0.2819999999992433,8,1e-06,3,8.0
25,0.029566143451380356,0.4530000000013388,8,1e-06,3,8.0
26,0.0295773182271104,0.43699999999807915,8,1e-06,3,8.0
27,0.02490062555316227,0.43699999999807915,8,1e-06,3,8.0
28,0.08011218431557147,0.20300000000133878,8,1e-06,3,8.0
29,0.03742673730830209,0.375,8,1e-06,3,8.0
30,0.025381213446642997,0.14099999999598367,8,1e-06,3,8.0
31,0.023836579427790265,0.15600000000267755,8,1e-06,3,8.0
32,0.024667835621904586,0.4530000000013388,8,1e-06,3,8.0
33,0.029282454301117714,0.375,8,1e-06,3,8.0
34,0.08650384972531346,0.125,8,1e-06,3,8.0
35,0.02175488055675965,0.4539999999979045,8,1e-06,3,8.0
36,0.026917835020680538,0.3899999999994179,8,1e-06,3,8.0
37,0.03934235298358756,0.4530000000013388,8,1e-06,3,8.0
38,0.026131516107435037,0.43800000000192085,8,1e-06,3,8.0
39,0.026127177110325358,0.25,8,1e-06,3,8.0
40,0.03257247588072584,0.34399999999732245,8,1e-06,3,8.0
41,0.029143076233420474,0.3430000000007567,8,1e-06,3,8.0
42,0.022193664703133057,0.375,8,1e-06,3,8.0
43,0.0232173823857129,0.4530000000013388,8,1e-06,3,8.0
44,0.02728249677839873,0.4539999999979045,8,1e-06,3,8.0
45,0.02423353746988316,0.17100000000209548,8,1e-06,3,8.0
46,0.02569398067316039,0.4539999999979045,8,1e-06,3,8.0
47,0.02739475543271855,0.4530000000013388,8,1e-06,3,8.0
48,0.026621653798082137,0.23399999999674037,8,1e-06,3,8.0
49,0.025094277674199483,0.4530000000013388,8,1e-06,3,8.0
50,0.045346806281675756,0.4530000000013388,8,1e-06,3,8.0
51,0.030749110247960256,0.4530000000013388,8,1e-06,3,8.0
52,0.024082808643121623,0.4379999999946449,8,1e-06,3,8.0
53,0.05429758894670806,0.4530000000013388,8,1e-06,3,8.0
54,0.029575548611412768,0.26600000000325963,8,1e-06,3,8.0
55,0.03283640598194358,0.4059999999954016,8,1e-06,3,8.0
56,0.02818804229353738,0.39100000000325963,8,1e-06,3,8.0
57,0.02611930586428042,0.375,8,1e-06,3,8.0
58,0.08278101741700818,0.06199999999807915,8,1e-06,3,8.0
59,0.027752531909054287,0.4530000000013388,8,1e-06,3,8.0
60,0.03105723054299534,0.4530000000013388,8,1e-06,3,8.0
61,0.03233832141755344,0.4530000000013388,8,1e-06,3,8.0
62,0.035374833016258475,0.21899999999732245,8,1e-06,3,8.0
63,0.029372134510374237,0.31300000000192085,8,1e-06,3,8.0
64,0.025389241813657336,0.13999999999941792,8,1e-06,3,8.0
65,0.030190346047856562,0.4530000000013388,8,1e-06,3,8.0
66,0.09018188549748198,0.046999999998661224,8,1e-06,3,8.0
