mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_early_stopping,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,noise_std
0.650653600692749,0.1553522514702193,0.0007984161376953125,0.00039920829667232046,0.1,True,"(8, 3)","{'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': (8, 3)}",-0.019474840384219302,-0.803978432217933,-0.07797948519564055,-0.06747118531009923,-0.013224003879726979,-0.1964255893975238,0.3048453913923945,33,-0.01987290608167013,-0.8093204952881161,-0.10965299818293887,-0.07266031489679774,-0.00970553430539505,-0.2042424497509836,0.3047022165510713,0.03
0.7292502403259278,0.004983262963375861,0.0003989219665527344,0.0004885776326209085,0.1,True,"(8, 4)","{'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': (8, 4)}",-0.018776534550656872,-0.005820469008181267,-0.007528376121153311,-0.012391419206533446,-0.023546297642981162,-0.01361261930590121,0.006701804787304619,10,-0.020413891194235857,-0.005734561286018184,-0.007368080676265934,-0.011881628221338803,-0.018024708083919577,-0.012684573892355671,0.0057527710928323445,0.03
0.7296481132507324,0.0032531745179676143,0.0005986690521240234,0.0004888113271977794,0.1,True,"(8, 5)","{'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': (8, 5)}",-0.006672598182633956,-0.01664104562536924,-0.015914362357609478,-0.012680170227668174,-0.02440382535240895,-0.015262400349137959,0.0057679109217895486,13,-0.0073241838139798485,-0.017942426113539335,-0.017180532542048748,-0.013489874748311521,-0.01184346136347186,-0.013556095716270264,0.003850991151871357,0.03
0.7561769485473633,0.013680450421002426,0.0009974956512451172,2.3360154559928684e-07,0.1,True,"(8, 6)","{'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': (8, 6)}",-0.023424266517665254,-0.020612460169016404,-0.011376612573512192,-0.011629083778367936,-0.015625737184202692,-0.016533632044552896,0.004808147229618496,14,-0.025052730910459235,-0.02108026608520897,-0.009276968174155131,-0.013811098427014556,-0.00963218804680258,-0.01577065032872809,0.0062934491365859305,0.03
0.6839701175689697,0.1475395884863984,0.0001994609832763672,0.0003989219665527344,0.1,True,"(8, 7)","{'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': (8, 7)}",-0.01177593882489415,-0.016963083061596766,-0.004738419162768384,-0.0097013166236736,-0.01967692213087444,-0.012571135960761468,0.005291522472443681,8,-0.013335825462377503,-0.016912000992899842,-0.004208489655879973,-0.009068473378110974,-0.012572313001481098,-0.01121942049814988,0.004301039073890865,0.03
0.7837036609649658,0.016173128855801557,0.0005984306335449219,0.0004886169462407688,0.1,True,"(8, 8)","{'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': (8, 8)}",-0.6091181363471184,-0.009362628576577828,-0.01303400966214076,-0.008146941390255022,-0.023608340933293618,-0.13265401138187716,0.2382942470920544,31,-0.5723301736007518,-0.00914175456860354,-0.01023378980049315,-0.009400867222379062,-0.012440262760027798,-0.12270936959045109,0.22481339784798487,0.03
0.8077162742614746,0.04060964118653185,0.00039882659912109374,0.0004884608318481088,0.01,True,"(8, 3)","{'alpha': 0.01, 'early_stopping': True, 'hidden_layer_sizes': (8, 3)}",-0.018884768285288556,-0.028067846970959563,-0.03582539158998274,-0.009891453715471338,-1.683453694872477,-0.35522463108683583,0.6641715724377033,35,-0.020165080601814957,-0.028049149168557143,-0.04930910382237163,-0.009666983805489898,-1.7543627447648107,-0.3723106124326089,0.6911484504951766,0.03
0.7533844947814942,0.07125353648482838,0.00039887428283691406,0.0004885192380524391,0.01,True,"(8, 4)","{'alpha': 0.01, 'early_stopping': True, 'hidden_layer_sizes': (8, 4)}",-0.007749722293476777,-0.052810424732235704,-0.016316754391926848,-0.027387572831061083,-0.006730336629959874,-0.02219896217573206,0.017009659598257395,21,-0.008959738630242985,-0.05462042838601982,-0.019771738556895527,-0.02587546504448603,-0.00587691164237534,-0.02302085645200394,0.01737163424527851,0.03
0.7569742202758789,0.01684278043791063,0.0003991127014160156,0.0004888112341665077,0.01,True,"(8, 5)","{'alpha': 0.01, 'early_stopping': True, 'hidden_layer_sizes': (8, 5)}",-0.02661172155592632,-0.005511268328078769,-0.017936388628283936,-0.0055306253842358245,-0.015306601051443007,-0.014179320989593572,0.007998574548483208,11,-0.02842962625848817,-0.005719639510758658,-0.020195212054059237,-0.0060660789252268916,-0.007413745301954836,-0.01356486041009756,0.009171022390562023,0.03
0.7691421508789062,0.009470056127065472,0.0009973526000976562,9.536743164062499e-08,0.01,True,"(8, 6)","{'alpha': 0.01, 'early_stopping': True, 'hidden_layer_sizes': (8, 6)}",-0.004930666379329178,-0.029918015324810882,-0.006126072965898251,-0.00969497141954773,-0.052774284213116696,-0.020688802060540547,0.018416909477080603,20,-0.005415678895248658,-0.030135863944538346,-0.005476507054235521,-0.011023131944047748,-0.030339774643349984,-0.01647819129628405,0.011417963254238916,0.03
0.7723339080810547,0.013028054790298733,0.0005985260009765625,0.0004886944566570864,0.01,True,"(8, 7)","{'alpha': 0.01, 'early_stopping': True, 'hidden_layer_sizes': (8, 7)}",-0.013485458597052606,-0.00610509931362328,-0.007117988891590084,-0.0193289815849042,-0.013579854864412204,-0.011923476650316475,0.004836757326095198,6,-0.015124395538391493,-0.005706616583879571,-0.006249019960369572,-0.01991673229089946,-0.007397067488623776,-0.010878766372432774,0.005657174336202917,0.03
