mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_early_stopping,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5338770389556885,0.013639162875685775,0.0001994609832763672,0.0003989219665527344,0.1,True,"(3,)","{'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': (3,)}",-0.09459537434834868,-0.07146196565519129,-0.044631672195467396,-0.027533298451330925,-0.06338557844975547,-0.060321577820018756,0.02293222131372753,27,-0.09430531573613372,-0.07143120248931559,-0.04856942254150839,-0.03179798122886467,-0.04113784303844709,-0.0574483530068539,0.02261311785342174
0.5581070423126221,0.01414122812509882,0.0005982398986816406,0.000488460901671617,0.1,True,"(4,)","{'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': (4,)}",-0.12654462181395057,-0.0717825531758252,-0.00401469791725277,-0.05121117196022521,-0.035209285279391246,-0.057752466029329,0.04090949838588602,26,-0.13527486200787758,-0.0729696482035992,-0.006968561205468048,-0.05005750032099639,-0.025554722087300454,-0.058165058765048336,0.04453166412592233
0.5420544624328614,0.012402687724822972,0.0007977485656738281,0.00039887435409171316,0.1,True,"(5,)","{'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': (5,)}",-1.0189528696417665,-0.06404731555098303,-0.028845008852873482,-0.007754878015439525,-0.033155017103906115,-0.23055101783299375,0.3946110940886604,35,-0.967446216197367,-0.06371917143236137,-0.026513863550234044,-0.008382271699028483,-0.03884449356739631,-0.22098120328927745,0.37366589224237445
0.5496370315551757,0.004869638967663369,0.0005983829498291016,0.0004885776326209085,0.1,True,"(6,)","{'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': (6,)}",-0.023835777882646934,-0.03196910094316446,-0.011419326557882203,-0.008847789749390744,-0.02402562151849069,-0.020019523330315005,0.00862758416191608,5,-0.02619960406406867,-0.032436301815326064,-0.00987465754813262,-0.01069754943176978,-0.012384324727571562,-0.01831848751737374,0.009230557171092023
0.5250017642974854,0.0834402364185958,0.0007977962493896484,0.00039889816388262293,0.1,True,"(7,)","{'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': (7,)}",-0.00886881568896117,-0.009325832725153282,-0.023873692556458295,-0.014782805859504249,-0.021706742401471614,-0.01571157784630972,0.006181033355078785,3,-0.009752128715785964,-0.009408745895681182,-0.030357735061323887,-0.01824615784257162,-0.010446860273752589,-0.01564232555782305,0.008048204932567454
0.5515244960784912,0.0067049539538602786,0.000399017333984375,0.0004886944566570864,0.1,True,"(8,)","{'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': (8,)}",-0.007665262932034668,-0.016994030701889658,-0.006382005110978454,-0.01246727657896046,-0.019692312386241775,-0.012640177542021003,0.005150398732042301,1,-0.008026906846324039,-0.01704192110543325,-0.0069517623283893324,-0.015336459951196342,-0.013590935045659452,-0.012189597055400483,0.004004358758618688
0.3704092979431152,0.2064711033586997,0.00039882659912109374,0.0004884608551226126,0.01,True,"(3,)","{'alpha': 0.01, 'early_stopping': True, 'hidden_layer_sizes': (3,)}",-0.40442079447326873,-0.07130390688940326,-0.05015295325418491,-0.014451747397017838,-0.02801500449042155,-0.11366888130085925,0.14666040055766955,33,-0.3780300297090272,-0.070549408109021,-0.07593346840397013,-0.013618754757106196,-0.02111486547973475,-0.11184930529177184,0.13544724915944178
0.5375618457794189,0.009792238571471545,0.0003989696502685547,0.000488636038823848,0.01,True,"(4,)","{'alpha': 0.01, 'early_stopping': True, 'hidden_layer_sizes': (4,)}",-0.013157299297477642,-0.02650763300208833,-0.08139963505081828,-0.005515528679171639,-0.18645507104031486,-0.06260703341397415,0.06737860361769225,28,-0.014725379929158872,-0.027191677174977693,-0.10157682596070636,-0.00743205577354177,-0.1287533857636011,-0.05593586492039716,0.04952300590744676
0.5361655235290528,0.016515843738603313,0.0,0.0,0.01,True,"(5,)","{'alpha': 0.01, 'early_stopping': True, 'hidden_layer_sizes': (5,)}",-0.012517976019992817,-0.10763544597742375,-0.23176327694055227,-0.003102550763400823,-0.046328614789536524,-0.08026957289818124,0.0841382792739354,31,-0.013028083712686659,-0.10452475327156137,-0.26054322912706757,-0.0044073908805659975,-0.020972719558683163,-0.08069523531011295,0.0968283060958457
0.5277880191802978,0.05425471382983136,0.0007977962493896484,0.00039889816388262293,0.01,True,"(6,)","{'alpha': 0.01, 'early_stopping': True, 'hidden_layer_sizes': (6,)}",-0.0027407163565004657,-0.014578149518155552,-0.045562509193433326,-0.07147414072872799,-0.03448653513584954,-0.03376841018653337,0.024051288861424984,15,-0.003357633216751409,-0.015013043475871839,-0.060506037272899084,-0.07216992265640351,-0.021585116957760265,-0.034526350715937223,0.02687644419638902
0.5545166015625,0.0075956549462908906,0.00019931793212890625,0.0003986358642578125,0.01,True,"(7,)","{'alpha': 0.01, 'early_stopping': True, 'hidden_layer_sizes': (7,)}",-0.008915455845822722,-0.00680194272840751,-0.03981285086679335,-0.06557649869920971,-0.07890571965213447,-0.04000249355847355,0.02910741209022534,18,-0.010326782101937458,-0.006902932241433977,-0.06032584034903996,-0.06603212177874324,-0.05694500964851587,-0.040106537223934105,0.02589904826794555
